numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07643;20160119150000;101620;-110;6;190;1.500000;281.150000;277.950000;80;40000;1;2;2;100;2;mq;35;22;mq;101520;mq;mq;120;mq;mq;mq;mq;275.250000;mq;mq;2.200000;3.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;5.000000;mq;mq;mq;mq;2;6;1900;8;4;2400;mq;mq;mq;mq;mq;mq;
07650;20160119150000;101600;-90;5;250;1.400000;282.850000;275.450000;60;60000;1;0;0;50;1;1250;31;23;12;101210;mq;mq;160;mq;mq;mq;mq;276.050000;mq;mq;1.700000;2.200000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;1;8;1100;3;3;4600;1;0;7500;mq;mq;mq;
07661;20160119150000;101540;-90;6;270;6.300000;282.150000;276.550000;68;40000;1;0;mq;40;3;1250;38;24;10;99910;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;9.400000;10.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;3.200000;mq;mq;mq;mq;3;6;1000;1;3;4000;mq;mq;mq;mq;mq;mq;
07690;20160119150000;101560;-70;6;0;0.000000;281.850000;271.750000;49;30000;1;2;2;90;7;1250;35;mq;mq;101240;mq;mq;-120;mq;mq;mq;mq;275.150000;mq;mq;0.700000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;7;6;1400;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20160119150000;101630;-120;5;90;0.900000;283.550000;278.550000;71;19640;0;mq;mq;mq;1;800;mq;mq;mq;101100;mq;mq;190;mq;mq;mq;mq;276.550000;mq;mq;1.700000;2.700000;-10;mq;0.000000;mq;mq;0.000000;0.200000;0.200000;0.400000;1.800000;mq;mq;mq;mq;1;mq;990;5;mq;1680;mq;mq;mq;mq;mq;mq;
07761;20160119150000;101480;40;3;310;3.700000;284.250000;275.250000;54;50000;1;2;2;75;6;mq;38;26;mq;101370;mq;mq;0;mq;mq;mq;mq;279.050000;mq;mq;5.600000;8.100000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;2;8;1200;4;6;1400;2;4;2500;mq;mq;mq;
07790;20160119150000;101540;0;5;160;0.900000;281.550000;275.150000;64;40000;3;2;2;90;7;450;38;mq;mq;101390;mq;mq;-180;mq;mq;mq;mq;278.650000;mq;mq;1.200000;1.800000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;-0.100000;1.600000;mq;mq;mq;mq;1;8;400;7;6;1400;mq;mq;mq;mq;mq;mq;
61980;20160119150000;100790;150;3;330;0.900000;300.950000;294.950000;70;49710;0;mq;mq;mq;0;mq;mq;mq;mq;100640;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;1.600000;1.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20160119150000;100110;70;3;230;9.300000;278.550000;277.650000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98340;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;14.400000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20160119150000;100270;-270;6;20;6.200000;284.550000;280.450000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99910;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.300000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20160119150000;100970;120;3;310;4.400000;298.650000;296.750000;89;7030;61;6;6;100;6;450;39;22;mq;100890;mq;mq;190;mq;mq;mq;mq;mq;mq;mq;6.000000;6.200000;-10;2;mq;mq;mq;1.400000;2.400000;18.700000;60.200000;62.000000;mq;mq;mq;mq;2;8;450;5;8;600;8;4;2800;1;9;550;
71805;20160119150000;98050;-50;5;250;19.600000;269.650000;269.350000;98;1200;38;8;7;100;8;450;35;mq;mq;97960;mq;mq;-1160;mq;mq;mq;mq;272.850000;mq;mq;25.500000;28.100000;-10;17;0.270000;0.010000;-30;-0.100000;-0.100000;0.400000;0.400000;10.900000;mq;mq;mq;mq;6;6;400;8;6;600;mq;mq;mq;mq;mq;mq;
78897;20160119150000;101820;90;0;140;3.600000;297.750000;295.950000;90;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;170;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20160119150000;101780;120;0;60;6.700000;300.450000;294.250000;69;25000;61;mq;mq;90;mq;800;mq;mq;mq;mq;mq;mq;200;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20160119150000;101360;20;0;50;3.300000;302.950000;294.650000;61;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101300;mq;mq;50;mq;mq;mq;mq;mq;mq;mq;8.200000;8.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20160119150000;101350;20;0;30;5.500000;302.050000;295.050000;66;58160;0;mq;mq;90;7;800;mq;mq;mq;101260;mq;mq;40;mq;mq;mq;mq;298.450000;mq;mq;10.000000;10.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;960;6;mq;1170;7;mq;1350;mq;mq;mq;
81408;20160119150000;101280;10;mq;10;2.500000;300.050000;296.750000;82;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101210;mq;mq;0;mq;296.350000;mq;302.150000;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.800000;4.000000;5.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20160119150000;101320;20;8;20;2.400000;301.650000;295.450000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100130;mq;mq;20;mq;mq;mq;mq;mq;mq;mq;4.800000;5.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;6.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20160119150000;97390;-130;8;100;9.300000;270.650000;263.250000;53;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;96860;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;14.900000;-30;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
